# file...... output/LOAD29_data.csv
# date...... Fri May  6 19:23:13 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD29:base_power_A, Bus562:measured_power.real, Bus562:measured_power.imag, inv_29_sol:VA_Out.real, inv_29_batt:VA_Out.real, Bus562:measured_voltage_A.real, Bus562:measured_voltage_A.imag, Bus562:measured_current_A.real, Bus562:measured_current_A.imag
2019-04-21 00:00:00 GMT,+8501.84,+3801.47,+5101.1,+0,+3000,+204.744,-99.7507,+13.0899,-31.2919
2019-04-21 00:01:00 GMT,+8501.84,+3801.47,+5101.1,+0,+3000,+204.744,-99.7507,+13.0899,-31.2919
2019-04-21 00:02:00 GMT,+8501.84,+3801.47,+5101.1,+0,+3000,+204.744,-99.7507,+13.0899,-31.2919
2019-04-21 00:03:00 GMT,+8501.84,+3801.47,+5101.1,+0,+3000,+204.744,-99.7507,+13.0899,-31.2919
2019-04-21 00:04:00 GMT,+8501.84,+3801.47,+5101.1,+0,+3000,+204.744,-99.7507,+13.0899,-31.2919
2019-04-21 00:05:00 GMT,+8691.81,+3953.45,+5215.09,+0,+3000,+203.56,-98.3232,+13.6803,-32.2272
2019-04-21 00:06:00 GMT,+8691.81,+3953.45,+5215.09,+0,+3000,+203.56,-98.3232,+13.6803,-32.2272
2019-04-21 00:07:00 GMT,+8691.81,+3953.45,+5215.09,+0,+3000,+203.56,-98.3232,+13.6803,-32.2272
2019-04-21 00:08:00 GMT,+8691.81,+3953.45,+5215.09,+0,+3000,+203.56,-98.3232,+13.6803,-32.2272
2019-04-21 00:09:00 GMT,+8691.81,+3953.45,+5215.09,+0,+3000,+203.56,-98.3232,+13.6803,-32.2272
2019-04-21 00:10:00 GMT,+8835.91,+4068.73,+5301.55,+0,+3000,+202.624,-97.173,+14.1488,-32.9499
2019-04-21 00:11:00 GMT,+8835.91,+4068.73,+5301.55,+0,+3000,+202.624,-97.173,+14.1488,-32.9499
2019-04-21 00:12:00 GMT,+8835.91,+4068.73,+5301.55,+0,+3000,+202.624,-97.173,+14.1488,-32.9499
2019-04-21 00:13:00 GMT,+8835.91,+4068.73,+5301.55,+0,+3000,+202.624,-97.173,+14.1488,-32.9499
2019-04-21 00:14:00 GMT,+8835.91,+4068.73,+5301.55,+0,+3000,+202.624,-97.173,+14.1488,-32.9499
2019-04-21 00:15:00 GMT,+8934.14,+4147.31,+5360.48,+0,+3000,+202.038,-96.3255,+14.4844,-33.4378
2019-04-21 00:16:00 GMT,+8934.14,+4147.31,+5360.48,+0,+3000,+202.038,-96.3255,+14.4844,-33.4378
2019-04-21 00:17:00 GMT,+8934.14,+4147.31,+5360.48,+0,+3000,+202.038,-96.3255,+14.4844,-33.4378
2019-04-21 00:18:00 GMT,+8934.14,+4147.31,+5360.48,+0,+3000,+202.038,-96.3255,+14.4844,-33.4378
2019-04-21 00:19:00 GMT,+8934.14,+4147.31,+5360.48,+0,+3000,+202.038,-96.3255,+14.4844,-33.4378
2019-04-21 00:20:00 GMT,+8986.5,+4189.2,+5391.9,+0,+3000,+201.655,-95.7512,+14.6851,-33.7112
2019-04-21 00:21:00 GMT,+8986.5,+4189.2,+5391.9,+0,+3000,+201.655,-95.7512,+14.6851,-33.7112
2019-04-21 00:22:00 GMT,+8986.5,+4189.2,+5391.9,+0,+3000,+201.655,-95.7512,+14.6851,-33.7112
2019-04-21 00:23:00 GMT,+8986.5,+4189.2,+5391.9,+0,+3000,+201.655,-95.7512,+14.6851,-33.7112
2019-04-21 00:24:00 GMT,+8986.5,+4189.2,+5391.9,+0,+3000,+201.655,-95.7512,+14.6851,-33.7112
2019-04-21 00:25:00 GMT,+8992.99,+4194.39,+5395.79,+0,+3000,+201.48,-95.454,+14.7467,-33.7672
2019-04-21 00:26:00 GMT,+8992.99,+4194.39,+5395.79,+0,+3000,+201.48,-95.454,+14.7467,-33.7672
2019-04-21 00:27:00 GMT,+8992.99,+4194.39,+5395.79,+0,+3000,+201.48,-95.454,+14.7467,-33.7672
2019-04-21 00:28:00 GMT,+8992.99,+4194.39,+5395.79,+0,+3000,+201.48,-95.454,+14.7467,-33.7672
2019-04-21 00:29:00 GMT,+8992.99,+4194.39,+5395.79,+0,+3000,+201.48,-95.454,+14.7467,-33.7672
2019-04-21 00:30:00 GMT,+8931.42,+4145.14,+5358.85,+0,+3000,+201.641,-95.7337,+14.5731,-33.4951
2019-04-21 00:31:00 GMT,+8931.42,+4145.14,+5358.85,+0,+3000,+201.641,-95.7337,+14.5731,-33.4951
2019-04-21 00:32:00 GMT,+8931.42,+4145.14,+5358.85,+0,+3000,+201.641,-95.7337,+14.5731,-33.4951
2019-04-21 00:33:00 GMT,+8931.42,+4145.14,+5358.85,+0,+3000,+201.641,-95.7337,+14.5731,-33.4951
